id,name,is_representative,prototypicality,familiarity,valence_raw,arousal_raw,valence,arousal,category,source
E218,신바람나다,False,5.18,4.87,5.72,5.7,0.5733,0.5667,긍정,KSPPA_2005
E219,서글프다,False,4.72,4.98,2.33,3.81,-0.5567,-0.0633,부정,KSPPA_2005
E220,실망하다,True,4.64,5.66,2.19,3.3,-0.6033,-0.2333,부정,KSPPA_2005
E221,실의,False,3.24,3.54,2.31,3.6,-0.5633,-0.1333,부정,KSPPA_2005
E222,애잔하다,False,3.87,3.39,3.44,3.02,-0.1867,-0.3267,부정,KSPPA_2005
E223,싫다,True,5.03,5.68,2.24,4.76,-0.5867,0.2533,부정,KSPPA_2005
E224,애정,False,4.61,5.46,5.33,4.32,0.4433,0.1067,긍정,KSPPA_2005
E225,싫증나다,True,4.45,5.66,2.45,3.94,-0.5167,-0.02,부정,KSPPA_2005
E226,애증,False,3.29,3.48,2.72,3.94,-0.4267,-0.02,부정,KSPPA_2005
E227,심드렁하다,False,3.19,2.71,2.8,3.32,-0.4,-0.2267,부정,KSPPA_2005
E228,애지중지하다,False,4.25,4.5,4.82,4.44,0.2733,0.1467,긍정,KSPPA_2005
E229,심란하다,True,4.65,5.17,2.59,4.01,-0.47,0.0033,부정,KSPPA_2005
E230,애착,False,3.73,4.47,4.21,4.54,0.07,0.18,긍정,KSPPA_2005
E231,심려하다,False,3.25,3.66,2.76,3.76,-0.4133,-0.08,부정,KSPPA_2005
E232,애처럽다,False,3.88,4.01,3.01,3.66,-0.33,-0.1133,부정,KSPPA_2005
E233,심심하다,False,4.43,5.76,3.31,2.66,-0.23,-0.4467,부정,KSPPA_2005
E234,애타다,False,4.4,4.64,2.45,5.07,-0.5167,0.3567,부정,KSPPA_2005
E235,심통,False,3.59,3.82,3.42,4.67,-0.1933,0.2233,부정,KSPPA_2005
E236,애통하다,False,3.87,3.9,2.07,4.83,-0.6433,0.2767,부정,KSPPA_2005
E237,싱숭생숭하다,False,4.14,4.93,3.09,3.37,-0.3033,-0.21,부정,KSPPA_2005
E238,애틋하다,True,4.81,4.66,4.41,4.16,0.1367,0.0533,긍정,KSPPA_2005
E239,쑥스럽다,False,4.61,5.45,3.44,3.56,-0.1867,-0.1467,부정,KSPPA_2005
E240,애환,False,3.5,3.59,2.99,3.81,-0.3367,-0.0633,부정,KSPPA_2005
E241,쓸쓸하다,False,4.84,5.41,2.54,2.8,-0.4867,-0.4,부정,KSPPA_2005
E242,야속하다,False,3.79,4.4,2.36,4.56,-0.5467,0.1867,부정,KSPPA_2005
E243,씁쓸하다,False,4.35,4.74,2.64,3.08,-0.4533,-0.3067,부정,KSPPA_2005
E244,약오르다,True,4.42,5.39,2.62,5.01,-0.46,0.3367,부정,KSPPA_2005
E245,아니꼽다,False,4.24,4.67,2.21,4.28,-0.5967,0.0933,부정,KSPPA_2005
E246,얄밉다,False,4.91,5.47,2.28,4.99,-0.5733,0.33,부정,KSPPA_2005
E247,아련하다,False,4.32,4.13,4.03,3.11,0.01,-0.2967,중립,KSPPA_2005
E248,어이없다,False,4.11,5.18,2.89,3.82,-0.37,-0.06,부정,KSPPA_2005
E249,아리다,False,3.45,3.15,3.36,3.72,-0.2133,-0.0933,부정,KSPPA_2005
E250,어처구니없다,False,4.37,5.18,2.69,4.05,-0.4367,0.0167,부정,KSPPA_2005
E251,아쉽다,True,5.2,5.84,3.07,3.56,-0.31,-0.1467,부정,KSPPA_2005
E252,억울하다,True,4.77,5.42,1.9,4.41,-0.7,0.1367,부정,KSPPA_2005
E253,아슬아슬하다,False,3.95,5.13,3.31,5.2,-0.23,0.4,부정,KSPPA_2005
E254,언짢다,False,4.22,4.63,2.5,4.13,-0.5,0.0433,부정,KSPPA_2005
E255,아연실색하다,False,3.5,3.34,2.65,4.75,-0.45,0.25,부정,KSPPA_2005
E256,여한,False,3.18,3.13,3.15,3.63,-0.2833,-0.1233,부정,KSPPA_2005
E257,아연하다,False,2.99,2.54,2.9,3.24,-0.3667,-0.2533,부정,KSPPA_2005
E258,역겹다,True,4.68,4.92,1.67,5.13,-0.7767,0.3767,부정,KSPPA_2005
E259,아찔하다,False,4.24,4.85,2.51,5.61,-0.4967,0.5367,부정,KSPPA_2005
E260,역정,False,3.34,3.72,3.02,5.18,-0.3267,0.3933,부정,KSPPA_2005
E261,안달복달하다,False,3.4,3.68,2.75,5.61,-0.4167,0.5367,부정,KSPPA_2005
E262,연모하다,False,3.68,3.48,4.45,4.07,0.15,0.0233,긍정,KSPPA_2005
E263,안달하다,False,3.81,4.21,2.52,4.93,-0.4933,0.31,부정,KSPPA_2005
E264,연민,False,4.39,4.48,3.86,3.34,-0.0467,-0.22,중립,KSPPA_2005
E265,안도하다,False,4.59,4.67,4.78,2.01,0.26,-0.6633,긍정,KSPPA_2005
E266,연연하다,False,3.27,3.87,3.0,3.48,-0.3333,-0.1733,부정,KSPPA_2005
